name,dom,V,E,MS_bef_MoveBlockG,MS_aft_MoveBlockG,MS_bef_MoveBlockF,MS_aft_MoveBlockF,SPAC_bef_MoveBlockG,SPAC_aft_MoveBlockG,SPAC_bef_MoveBlockF,SPAC_aft_MoveBlockF,SHEEP_bef_MoveBlockG,SHEEP_aft_MoveBlockG,SHEEP_bef_MoveBlockF,SHEEP_aft_MoveBlockF,NE_bef_MoveBlockG,NE_aft_MoveBlockG,NE_bef_MoveBlockF,NE_aft_MoveBlockF
adder-dcop-03,misc,1813,6342,1.99173,1.45394,1.99173,1.24821,1.82201,1.50102,1.82201,1.47571,1.42526,1.38389,1.42526,1.35632,1.71484,1.62206,1.71484,1.37121
adder-dcop-04,misc,1813,6279,2.02703,1.45615,2.02703,1.24545,1.81854,1.48021,1.81854,1.46727,1.39272,1.35687,1.39272,1.3348,1.60232,1.51737,1.60232,1.31288
adder-dcop-05,misc,1813,6287,2.00662,1.46222,2.00662,1.26200,1.82490,1.48865,1.82490,1.48527,1.40485,1.37066,1.40485,1.34253,1.86707,1.68752,1.86707,1.27634
adder-dcop-06,misc,1813,6367,2.05461,1.43574,2.05461,1.27579,1.84691,1.49484,1.84691,1.47964,1.42747,1.3872,1.42747,1.35025,1.77110,1.65582,1.77110,1.35235
adder-dcop-07,misc,1813,6369,2.03530,1.47932,2.03530,1.26696,1.83938,1.48415,1.83938,1.48190,1.41644,1.38389,1.41644,1.3497,1.80474,1.67965,1.80474,1.35687
adder-dcop-08,misc,1813,6383,2.04688,1.43188,2.04688,1.27689,1.83765,1.49822,1.83765,1.49315,1.43409,1.38555,1.43409,1.35245,1.70325,1.61280,1.70325,1.48729
adder-dcop-09,misc,1813,6378,2.03254,1.45946,2.03254,1.26917,1.85386,1.52691,1.85386,1.51171,1.42361,1.39879,1.42361,1.3519,1.96801,1.78489,1.96801,1.65268
adder-dcop-10,misc,1813,6376,2.03254,1.46277,2.03254,1.26475,1.80579,1.49146,1.80579,1.46615,1.43298,1.40596,1.43298,1.36514,1.68285,1.54588,1.68285,1.35080
adder-dcop-11,misc,1813,6382,2.04026,1.41589,2.04026,1.26089,1.84286,1.52184,1.84286,1.50553,1.42306,1.39713,1.42306,1.35576,1.69829,1.62834,1.69829,1.43519
adder-dcop-12,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.79702,1.59239,1.79702,1.49772
adder-dcop-13,misc,1813,6383,2.03916,1.46332,2.03916,1.25538,1.82027,1.49765,1.82027,1.47571,1.42361,1.38941,1.42361,1.35797,1.68174,1.53890,1.68174,1.43188
adder-dcop-14,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.97022,1.77386,1.97022,1.60190
adder-dcop-15,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.75400,1.68253,1.75400,1.33811
adder-dcop-16,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.65361,1.56977,1.65361,1.52594
adder-dcop-17,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.73690,1.56922,1.73690,1.44432
adder-dcop-18,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.86983,1.70207,1.86983,1.38996
